reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13919109,1143589017,"Exclusive Suite, Private Pool",exclusive suite private pool,201039443,"Suite, Private Pool",suite private pool,0.97
13655473,1142357849,Classic 1 Bedroom Villa with Mezzanine Terrace,classic 1 bedroom villa mezzanine terrace,201009433,"Traditional Villa, 1 Bedroom, Terrace, Mezzanine",traditional villa 1 bedroom terrace mezzanine,0.96
13622121,1142029062,"Comfort Apartment, 1 Bedroom, Terrace, Garden View",comfort apartment 1 bedroom terrace garden view,217509258,"Comfort Apartment, 1 Bedroom, Garden View",comfort apartment 1 bedroom garden view,0.96
13527372,1142510801,"Room, 1 Queen Bed with Sofa bed, View",room 1 queen bed sofa bed view,201286897,"Room, 1 Queen Bed with Sofa bed",room 1 queen bed sofa bed,0.97
13468392,1141908437,"Basic Room, Accessible, Smoking",basic room accessible smoking,201577280,"Room, Accessible, Smoking",room accessible smoking,0.97
88801,8880103,Cottage Superior,cottage superior,200986679,Superior Cottage,superior cottage,0.97
13690817,1142353996,"Deluxe Double Room, Ensuite (Room 5)",deluxe double room ensuite room 5,200910111,"Deluxe Double Room, Ensuite",deluxe double room ensuite,0.97
13639614,1142855255,"Townhome, 5 Bedrooms",townhome 5 bedroom,201695812,"Luxury Townhome, 5 Bedrooms",luxury townhome 5 bedroom,0.97
13510081,1142493142,"Standard Room, 1 Queen Bed, Balcony",standard room 1 queen bed balcony,201532726,"Room, 1 Queen Bed, Balcony",room 1 queen bed balcony,0.96
8012413,801241301,Deluxe Double Room with Extra Bed,deluxe double room extra bed,201270877,Deluxe Double Bed Room,deluxe double bed room,0.96
13676787,1142631909,"Premier Apartment, 1 Bedroom, Ocean View",premier apartment 1 bedroom ocean view,200932022,"Apartment, 1 Bedroom, Ocean View",apartment 1 bedroom ocean view,0.97
13942621,1143594092,"Comfort Double Room, Shared Bathroom",comfort double room shared bathroom,201437644,"Comfort Double or Twin Room, Shared Bathroom",comfort double twin room shared bathroom,0.97
13497053,1142207663,"Deluxe Room, 2 Twin Beds, Sea View",deluxe room 2 twin bed sea view,217503847,"Deluxe Twin Room, 2 Twin Beds, Sea View",deluxe twin room 2 twin bed sea view,0.98
13645586,1142630079,"Room, 1 King Bed, Accessible (Mobility & Hearing, Roll-in Shower)",room 1 king bed accessible mobility hearing rollin shower,316130893,"Room, 1 Queen Bed, Accessible (Mobility & Hearing, Roll-In Shower)",room 1 queen bed accessible mobility hearing rollin shower,0.88
13508872,1142503094,"Deluxe Double Room, 1 King Bed, Accessible, Non Smoking",deluxe double room 1 king bed accessible non smoking,215447204,"Deluxe Room, 1 Double Bed, Accessible, Non Smoking",deluxe room 1 double bed accessible non smoking,0.86
13628683,1142328906,Bungalow (Triple),bungalow triple,201233423,Triple Bungalow,triple bungalow,0.98
8717355,871735502,Duplex Suite,duplex suite,320759157,Suite (Duplex),suite duplex,0.98
13908045,1143562306,"Apartment, 1 Bedroom (3 People)",apartment 1 bedroom 3 person,201868783,"Apartment, 1 Bedroom (3 persons)",apartment 1 bedroom 3 persons,0.97
13826537,1143409580,Twin Room (49 sqm.),twin room 49 sqm,200991387,Twin Room (14 sqm),twin room 14 sqm,0.86
13509199,1142235300,"Room, Terrace, Garden View",room terrace garden view,201144987,Room (Terrace Garden),room terrace garden,0.97
13428481,1142419732,"Apartment, 1 Bedroom (3 - 4)",apartment 1 bedroom 3 4,201987792,"Apartment, 1 Bedroom (#3)",apartment 1 bedroom 3,0.98
13618923,1141853448,"Standard Room, 1 Queen Bed, Non Smoking (Single Room)",standard room 1 queen bed non smoking single room,200917322,"Standard Room, 1 Queen Bed, Non Smoking (Room 9)",standard room 1 queen bed non smoking room 9,0.97
13916250,1143583811,"Double Room, 1 Queen Bed (4)",double room 1 queen bed 4,230403717,"Double Room, 1 Queen Bed",double room 1 queen bed,0.97
13610231,1142866080,"Comfort Room, 1 Queen Bed, Accessible",comfort room 1 queen bed accessible,201037185,"Comfort Room, 1 Queen Bed",comfort room 1 queen bed,0.97
13830823,1143425681,"Deluxe Double Room, Private Bathroom",deluxe double room private bathroom,201437648,"Deluxe Double or Twin Room, Private Bathroom",deluxe double twin room private bathroom,0.96
13679157,1142905107,1 bed in 4-bed mixed dormitory room,1 bed 4bed mixed dormitory room,218401526,Bed in 6-Bed Mixed Dormitory Room,bed 6bed mixed dormitory room,0.86
13685494,1142382911,Two Bedroom Apartment Poolside,two bedroom apartment poolside,201605763,Deluxe Poolside Two Bedroom Apartment,deluxe poolside two bedroom apartment,0.96
13844988,1143467730,"Superior Villa, 6 Bedrooms, Private Pool",superior villa 6 bedroom private pool,321564524,"Superior Villa, 2 Bedrooms, Private Pool",superior villa 2 bedroom private pool,0.87
13695460,1142938978,Villa Deluxe Ocean View,villa deluxe ocean view,201005264,"Deluxe Villa, Sea View",deluxe villa sea view,0.96
13941427,1143581500,"Standard Shared Dormitory, Mixed Dorm, Shared Bathroom (9 people)",standard shared dormitory mixed dormitory shared bathroom 9 person,200906532,"Shared Dormitory, Mixed Dorm, Shared Bathroom (maximum 10 people)",shared dormitory mixed dormitory shared bathroom maximum 10 person,0.86
13483011,1142192371,"Basic Twin Room, 2 Twin Beds, Non Smoking",basic twin room 2 twin bed non smoking,230413903,"Standard Twin Room, 2 Twin Beds, Non Smoking",standard twin room 2 twin bed non smoking,0.98
13500313,1142755965,Standard Double Room (Big Balcony),standard double room big balcony,200931649,"Standard Double Room, Balcony",standard double room balcony,0.97
13695460,1142938886,"Villa Adults, 2 bedrooms Suite with Private pool",villa adult 2 bedroom suite private pool,200904250,"Villa, 2 Bedrooms, Private Pool",villa 2 bedroom private pool,0.96
13611016,1142592419,Economy Twin Bed Room,economy twin bed room,201561431,"Economy Room, 2 Twin Beds",economy room 2 twin bed,0.96
13577593,1142839144,"Comfort Apartment, 2 Bedrooms, Mountain View (Top 5)",comfort apartment 2 bedroom mountain view top 5,201491973,"Comfort Apartment, 2 Bedrooms, Mountain View",comfort apartment 2 bedroom mountain view,0.97
