reference_hotel_id,reference_room_id,reference_room_name,reference_processed_name,supplier_room_id,supplier_room_name,supplier_processed_name,text_similarity
13940961,1143631812,City Double Room,city double room,229513447,"Double Room, City View",double room city view,0.87
13463471,1142451252,Room (Standard Room - 2PC),room standard room 2pc,314401406,Standard Room,standard room,0.85
491733,49173305,King Suite with Roll-In Shower - Accessible/Non-Smoking,king suite rollin shower accessiblenonsmoking,200929392,"Suite, Accessible (Roll-In Shower)",suite accessible rollin shower,0.86
13584799,1142547977,Apartment Suite,apartment suite,201491751,Deluxe Suite Apartment,deluxe suite apartment,0.87
13838859,1143453706,Family Chalet,family chalet,201949879,Family Chalet Ensuite,family chalet ensuite,0.85
13937715,1143581590,"Grand House, 4 Bedrooms",grand house 4 bedroom,201788778,"House, 4 Bedrooms",house 4 bedroom,0.86
13556014,1142799107,"Luxury Bungalow, 1 King Bed, Non Smoking, Lake View",luxury bungalow 1 king bed non smoking lake view,221734935,"Deluxe Bungalow, 1 Queen Bed, Mountain View",deluxe bungalow 1 queen bed mountain view,0.86
13899929,1143548251,"Deluxe Studio, City View",deluxe studio city view,201365949,"Studio, City View",studio city view,0.87
13650055,1142650467,"House, Multiple Beds, Balcony, Pool View",house multiple bed balcony pool view,202056243,"Two Bedroom Apartment, Balcony, Pool view (A4)",two bedroom apartment balcony pool view a4,0.87
13510758,1142494039,"Standard Double Room, 2 Double Beds, Partial Ocean View, Mountainside",standard double room 2 double bed partial ocean view mountainside,200981450,"Standard Double Room, 2 Double Beds, Mountain View",standard double room 2 double bed mountain view,0.87
4298036,429803602,Apartment (4 Adults),apartment 4 adult,201246992,Apartment (for 4 persons),apartment 4 persons,0.87
13510758,1142494096,"Classic Quadruple Room, Mountain View, Mountainside",classic quadruple room mountain view mountainside,219604267,"Standard Double Room, Mountainside",standard double room mountainside,0.85
7730465,773046519,Budget Double or Twin Room without Window,budget double twin room without window,201299953,"Deluxe Double or Twin Room, No Windows",deluxe double twin room no window,0.87
6982344,698234404,Quadruple Room with Bath,quadruple room bath,201288863,"Quadruple Room, Shared Bathroom",quadruple room shared bathroom,0.86
13919416,1143589026,Honeymoon Cottage,honeymoon cottage,321014889,Honeymoon Room,honeymoon room,0.86
13604381,1142859946,Suite XXL with Sofa Bed - Street View,suite xxl sofa bed street view,217204844,"Deluxe Suite, 1 King Bed with Sofa bed, City View",deluxe suite 1 king bed sofa bed city view,0.86
13559839,1142538452,Superior Double Room (Exterior),superior double room exterior,315883978,"Superior Double Room, Accessible",superior double room accessible,0.86
13604381,1142859898,Suite XL with balcony and sofa bed - street view,suite xl balcony sofa bed street view,201310910,"Luxury Suite, 1 King Bed with Sofa bed, Balcony",luxury suite 1 king bed sofa bed balcony,0.87
